,Species,Dead_Alive,Gear,SCL_notch,SCL_tip,SCW,CCL_notch,TestLevel_Before,Entangled
68,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
69,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
70,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
71,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
72,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
73,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
74,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
75,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
76,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
77,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
78,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
79,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
80,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
81,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
82,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
83,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
84,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
85,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
86,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
87,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
88,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
89,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
90,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
91,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
92,Loggerhead,Alive,Pound net,73.2,74.3,68.9,77.9,155.4,Free
93,Loggerhead,Alive,Pound net,73.2,74.3,68.9,77.9,155.4,Free
94,Loggerhead,Alive,Pound net,73.2,74.3,68.9,77.9,155.4,Free
95,Loggerhead,Alive,Pound net,73.2,74.3,68.9,77.9,155.4,Free
96,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
97,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
98,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
99,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
100,Loggerhead,Alive,Pound net,73.4,74.3,64.9,79.8,155.4,Free
101,Loggerhead,Alive,Pound net,73.4,74.3,64.9,79.8,155.4,Free
102,Loggerhead,Alive,Pound net,73.4,74.3,64.9,79.8,155.4,Free
103,Loggerhead,Alive,Pound net,73.4,74.3,64.9,79.8,155.4,Free
104,Loggerhead,Alive,Pound net,73.4,74.3,64.9,79.8,155.4,Free
105,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
106,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
107,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
108,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
109,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
110,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
111,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
112,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
113,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
114,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
115,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
116,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
117,Loggerhead,Alive,Pound net,54.9,56.2,46.3,58.5,155.4,Free
118,Loggerhead,Alive,Pound net,54.9,56.2,46.3,58.5,155.4,Free
119,Loggerhead,Alive,Pound net,61.2,61.3,50.5,65.7,155.4,Free
120,Loggerhead,Alive,Pound net,61.2,61.3,50.5,65.7,155.4,Free
121,Green,Alive,Pound net,26.1,26.5,21.0,26.3,78.7,Free
122,Green,Alive,Pound net,26.1,26.5,21.0,26.3,78.7,Free
123,Loggerhead,Alive,Pound net,52.7,54.1,45.7,57.0,155.4,Free
124,Loggerhead,Alive,Pound net,52.7,54.1,45.7,57.0,155.4,Free
125,Green,Alive,Pound net,37.4,37.5,30.0,40.2,78.7,Free
126,Green,Alive,Pound net,37.4,37.5,30.0,40.2,78.7,Free
127,Green,Alive,Pound net,37.4,37.5,30.0,40.2,78.7,Free
128,Loggerhead,Alive,Gill net,50.7,51.8,45.9,55.9,155.4,Free
129,Loggerhead,Alive,Gill net,50.7,51.8,45.9,55.9,155.4,Free
130,Loggerhead,Alive,Pound net,51.9,52.4,45.1,54.9,155.4,Free
131,Loggerhead,Alive,Pound net,51.9,52.4,45.1,54.9,155.4,Free
132,Loggerhead,Alive,Pound net,62.3,58.0,46.0,67.5,155.4,Free
133,Loggerhead,Alive,Pound net,62.3,58.0,46.0,67.5,155.4,Free
134,Loggerhead,Alive,Pound net,59.0,59.5,52.2,64.5,155.4,Free
135,Loggerhead,Alive,Pound net,59.0,59.5,52.2,64.5,155.4,Free
136,Loggerhead,Alive,Pound net,62.1,63.6,50.2,66.2,21.5,Free
137,Loggerhead,Alive,Pound net,62.1,63.6,50.2,66.2,21.5,Free
138,Loggerhead,Alive,Pound net,62.1,63.6,50.2,66.2,21.5,Free
139,Loggerhead,Alive,Pound net,62.1,63.6,50.2,66.2,21.5,Free
140,Loggerhead,Alive,Pound net,51.4,52.3,42.4,56.0,155.4,Free
141,Loggerhead,Alive,Pound net,51.4,52.3,42.4,56.0,155.4,Free
142,Loggerhead,Alive,Pound net,65.0,66.1,53.2,71.5,258.0,Free
143,Loggerhead,Alive,Pound net,65.0,66.1,53.2,71.5,258.0,Free
144,Loggerhead,Alive,Pound net,65.0,66.1,53.2,71.5,258.0,Free
145,Loggerhead,Alive,Pound net,65.0,66.1,53.2,71.5,258.0,Free
146,Loggerhead,Alive,Pound net,60.0,61.0,51.1,68.5,155.4,Free
147,Loggerhead,Alive,Pound net,60.0,61.0,51.1,68.5,155.4,Free
148,Green,Alive,Pound net,33.0,33.7,27.3,35.2,78.7,Free
149,Green,Alive,Pound net,33.0,33.7,27.3,35.2,78.7,Free
150,Loggerhead,Alive,Pound net,54.4,56.1,46.4,59.4,155.4,Free
151,Loggerhead,Alive,Pound net,54.4,56.1,46.4,59.4,155.4,Free
152,Loggerhead,Alive,Pound net,56.5,56.7,47.7,62.0,155.4,Free
153,Loggerhead,Alive,Pound net,56.5,56.7,47.7,62.0,155.4,Free
154,Loggerhead,Alive,Pound net,66.2,66.5,55.0,70.5,155.4,Free
155,Loggerhead,Alive,Pound net,66.2,66.5,55.0,70.5,155.4,Free
156,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
157,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
158,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
159,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
160,Loggerhead,Alive,Pound net,55.2,55.8,44.3,58.7,155.4,Free
161,Loggerhead,Alive,Pound net,55.2,55.8,44.3,58.7,155.4,Free
162,Loggerhead,Alive,Pound net,44.3,44.9,36.1,48.2,155.4,Free
163,Loggerhead,Alive,Pound net,44.3,44.9,36.1,48.2,155.4,Free
164,Loggerhead,Alive,Pound net,52.7,53.4,52.2,58.5,155.4,Free
165,Loggerhead,Alive,Pound net,52.7,53.4,52.2,58.5,155.4,Free
166,Loggerhead,Alive,Pound net,60.5,61.5,52.2,65.0,155.4,Free
167,Loggerhead,Alive,Pound net,60.5,61.5,52.2,65.0,155.4,Free
168,Green,Alive,Pound net,27.6,28.3,22.5,29.0,78.7,Free
169,Green,Alive,Pound net,27.6,28.3,22.5,29.0,78.7,Free
170,Loggerhead,Alive,Pound net,57.3,58.7,49.7,63.5,116.0,Free
171,Loggerhead,Alive,Pound net,57.3,58.7,49.7,63.5,116.0,Free
172,Green,Alive,Pound net,33.0,33.3,27.3,34.5,78.7,Free
173,Green,Alive,Pound net,33.0,33.3,27.3,34.5,78.7,Free
174,Loggerhead,Alive,Pound net,57.2,57.9,48.5,61.2,155.4,Free
175,Loggerhead,Alive,Pound net,57.2,57.9,48.5,61.2,155.4,Free
176,Loggerhead,Alive,Pound net,66.0,66.2,65.7,71.0,155.4,Free
177,Loggerhead,Alive,Pound net,66.0,66.2,65.7,71.0,155.4,Free
178,Loggerhead,Alive,Pound net,64.0,65.0,51.0,68.5,155.4,Free
179,Loggerhead,Alive,Pound net,64.0,65.0,51.0,68.5,155.4,Free
180,Green,Alive,Pound net,28.1,28.5,22.4,29.3,78.7,Free
181,Green,Alive,Pound net,28.1,28.5,22.4,29.3,78.7,Free
182,Loggerhead,Alive,Pound net,63.4,64.6,53.6,67.6,0.1,Free
183,Loggerhead,Alive,Pound net,63.4,64.6,53.6,67.6,0.1,Free
184,Loggerhead,Alive,Pound net,55.0,55.6,46.5,59.0,155.4,Free
185,Loggerhead,Alive,Pound net,55.0,55.6,46.5,59.0,155.4,Free
186,Loggerhead,Alive,Pound net,61.6,62.6,55.1,64.7,155.4,Free
187,Loggerhead,Alive,Pound net,61.6,62.6,55.1,64.7,155.4,Free
188,Loggerhead,Alive,Pound net,57.9,58.4,49.9,63.0,155.4,Free
189,Loggerhead,Alive,Pound net,57.9,58.4,49.9,63.0,155.4,Free
190,Loggerhead,Dead,Pound net,50.0,50.3,42.0,52.0,155.4,Free
191,Loggerhead,Dead,Pound net,50.0,50.3,42.0,52.0,155.4,Free
192,Loggerhead,Alive,Pound net,59.6,60.5,50.5,64.0,155.4,Free
193,Loggerhead,Alive,Pound net,59.6,60.5,50.5,64.0,155.4,Free
194,Loggerhead,Alive,Pound net,55.9,56.7,45.6,58.9,155.4,Free
195,Loggerhead,Alive,Pound net,55.9,56.7,45.6,58.9,155.4,Free
196,Loggerhead,Alive,Pound net,60.2,60.7,50.2,65.0,155.4,Free
197,Loggerhead,Alive,Pound net,60.2,60.7,50.2,65.0,155.4,Free
198,Loggerhead,Alive,Pound net,56.0,56.5,46.8,63.0,155.4,Free
199,Loggerhead,Alive,Pound net,56.0,56.5,46.8,63.0,155.4,Free
200,Loggerhead,Alive,Pound net,62.3,59.6,50.2,67.5,155.4,Free
201,Loggerhead,Alive,Pound net,62.3,59.6,50.2,67.5,155.4,Free
202,Loggerhead,Alive,Pound net,52.3,52.7,44.3,56.8,155.4,Free
203,Loggerhead,Alive,Pound net,52.3,52.7,44.3,56.8,155.4,Free
204,Green,Alive,Pound net,38.1,38.4,30.1,39.3,78.7,Free
205,Green,Alive,Pound net,38.1,38.4,30.1,39.3,78.7,Free
206,Green,Alive,Pound net,37.8,38.0,29.7,39.4,78.7,Free
207,Green,Alive,Pound net,37.8,38.0,29.7,39.4,78.7,Free
208,Green,Alive,Pound net,37.8,38.0,29.7,39.4,78.7,Free
209,Green,Alive,Pound net,37.8,38.0,29.7,39.4,78.7,Free
210,Green,Alive,Pound net,37.5,38.1,30.3,40.5,78.7,Free
211,Green,Alive,Pound net,37.5,38.1,30.3,40.5,78.7,Free
212,Green,Alive,Pound net,37.5,38.1,30.3,40.5,78.7,Free
213,Green,Alive,Pound net,37.5,38.1,30.3,40.5,78.7,Free
214,Loggerhead,Alive,Pound net,40.9,41.4,36.7,45.9,155.4,Free
215,Loggerhead,Alive,Pound net,40.9,41.4,36.7,45.9,155.4,Free
216,Loggerhead,Alive,Pound net,48.2,49.0,40.2,53.0,155.4,Free
217,Loggerhead,Alive,Pound net,48.2,49.0,40.2,53.0,155.4,Free
218,Green,Alive,Pound net,30.5,30.8,24.8,32.0,78.7,Free
219,Green,Alive,Pound net,30.5,30.8,24.8,32.0,78.7,Free
220,Green,Alive,Pound net,29.6,30.0,24.9,31.0,78.7,Free
221,Green,Alive,Pound net,29.6,30.0,24.9,31.0,78.7,Free
222,Loggerhead,Alive,Pound net,64.2,66.4,55.5,71.0,80.4,Free
223,Loggerhead,Alive,Pound net,64.2,66.4,55.5,71.0,80.4,Free
224,Loggerhead,Dead,Pound net,61.9,62.1,56.7,68.5,155.4,Free
225,Loggerhead,Dead,Pound net,61.9,62.1,56.7,68.5,155.4,Free
226,Loggerhead,Dead,Dead Stranding,62.3,72.7,69.2,67.5,155.4,Free
227,Loggerhead,Dead,Dead Stranding,62.3,72.7,69.2,67.5,155.4,Free
228,Loggerhead,Dead,Dead Stranding,62.3,72.7,69.2,67.5,155.4,Free
229,Loggerhead,Dead,Dead Stranding,62.3,72.7,69.2,67.5,155.4,Free
230,Green,Alive,Pound net,27.2,27.5,20.5,28.0,78.7,Free
231,Green,Alive,Pound net,27.2,27.5,20.5,28.0,78.7,Free
232,Loggerhead,Alive,Pound net,56.0,56.8,50.2,61.0,155.4,Free
233,Loggerhead,Alive,Pound net,56.0,56.8,50.2,61.0,155.4,Free
234,Loggerhead,Alive,Pound net,67.5,70.0,56.5,74.0,155.4,Free
235,Loggerhead,Alive,Pound net,67.5,70.0,56.5,74.0,155.4,Free
236,Loggerhead,Alive,Pound net,67.5,70.0,56.5,74.0,155.4,Free
237,Loggerhead,Alive,Pound net,67.5,70.0,56.5,74.0,155.4,Free
238,Loggerhead,Dead,Pound net,44.1,46.3,39.3,50.0,155.4,Free
239,Loggerhead,Dead,Pound net,44.1,46.3,39.3,50.0,155.4,Free
240,Loggerhead,Alive,Pound net,49.5,50.1,43.2,54.4,155.4,Free
241,Loggerhead,Alive,Pound net,49.5,50.1,43.2,54.4,155.4,Free
242,Loggerhead,Alive,Pound net,56.7,58.5,49.5,61.2,35.4,Free
243,Loggerhead,Alive,Pound net,56.7,58.5,49.5,61.2,35.4,Free
244,Loggerhead,Dead,Pound net,61.7,62.5,54.0,67.5,155.4,Free
245,Loggerhead,Dead,Pound net,61.7,62.5,54.0,67.5,155.4,Free
246,Loggerhead,Dead,Dead Stranding,62.3,62.4,52.9,67.5,155.4,Free
247,Loggerhead,Dead,Dead Stranding,62.3,62.4,52.9,67.5,155.4,Free
248,Loggerhead,Dead,Dead Stranding,62.3,62.4,52.9,67.5,155.4,Free
249,Loggerhead,Dead,Dead Stranding,62.3,62.4,52.9,67.5,155.4,Free
250,Loggerhead,Alive,Pound net,58.0,59.5,48.2,62.7,155.4,Free
251,Loggerhead,Alive,Pound net,58.0,59.5,48.2,62.7,155.4,Free
252,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
253,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
254,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
255,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
256,Kemps_Ridley,Alive,Hook and line,38.7,28.2,26.9,40.650000000000006,110.9,Free
257,Kemps_Ridley,Alive,Hook and line,38.7,28.2,26.9,40.650000000000006,110.9,Free
258,Green,Alive,Pound net,29.2,29.6,23.6,30.0,78.7,Free
259,Green,Alive,Pound net,29.2,29.6,23.6,30.0,78.7,Free
260,Green,Alive,Pound net,33.4,34.2,27.4,34.7,78.7,Free
261,Green,Alive,Pound net,33.4,34.2,27.4,34.7,78.7,Free
262,Green,Alive,Pound net,33.4,34.2,27.4,34.7,78.7,Free
263,Green,Alive,Pound net,33.4,34.2,27.4,34.7,78.7,Free
264,Loggerhead,Dead,Pound net,52.2,52.2,47.5,58.0,155.4,Free
265,Loggerhead,Dead,Pound net,52.2,52.2,47.5,58.0,155.4,Free
266,Loggerhead,Dead,Dead Stranding,62.3,63.6,52.2,67.5,155.4,Free
267,Loggerhead,Dead,Dead Stranding,62.3,63.6,52.2,67.5,155.4,Free
268,Loggerhead,Dead,Dead Stranding,62.3,63.6,52.2,67.5,155.4,Free
269,Loggerhead,Dead,Dead Stranding,62.3,63.6,52.2,67.5,155.4,Free
270,Green,Alive,Pound net,33.5,34.2,27.2,34.8,78.7,Free
271,Green,Alive,Pound net,33.5,34.2,27.2,34.8,78.7,Free
272,Green,Alive,Pound net,31.1,31.2,25.5,32.5,78.7,Free
273,Green,Alive,Pound net,31.1,31.2,25.5,32.5,78.7,Free
274,Loggerhead,Alive,Pound net,59.2,59.5,54.4,63.3,155.4,Free
275,Loggerhead,Alive,Pound net,59.2,59.5,54.4,63.3,155.4,Free
276,Loggerhead,Alive,Pound net,46.2,47.4,38.0,52.2,155.4,Free
277,Loggerhead,Alive,Pound net,46.2,47.4,38.0,52.2,155.4,Free
278,Loggerhead,Alive,Pound net,60.2,61.2,48.0,66.0,155.4,Free
279,Loggerhead,Alive,Pound net,60.2,61.2,48.0,66.0,155.4,Free
280,Loggerhead,Alive,Pound net,62.9,64.0,51.2,70.0,155.4,Free
281,Loggerhead,Alive,Pound net,62.9,64.0,51.2,70.0,155.4,Free
282,Loggerhead,Alive,Pound net,68.0,69.7,58.5,72.0,155.4,Free
283,Loggerhead,Alive,Pound net,68.0,69.7,58.5,72.0,155.4,Free
284,Green,Alive,Pound net,28.7,29.2,23.6,30.7,78.7,Free
285,Green,Alive,Pound net,28.7,29.2,23.6,30.7,78.7,Free
286,Green,Alive,Pound net,26.8,26.9,20.9,28.1,78.7,Free
287,Green,Alive,Pound net,26.8,26.9,20.9,28.1,78.7,Free
288,Loggerhead,Alive,Pound net,60.0,61.1,48.5,64.0,155.4,Free
289,Loggerhead,Alive,Pound net,60.0,61.1,48.5,64.0,155.4,Free
290,Loggerhead,Alive,Pound net,60.5,61.3,49.8,64.0,155.4,Free
291,Loggerhead,Alive,Pound net,60.5,61.3,49.8,64.0,155.4,Free
292,Loggerhead,Alive,Pound net,60.5,61.3,49.8,64.0,155.4,Free
293,Loggerhead,Alive,Pound net,60.5,61.3,49.8,64.0,155.4,Free
294,Loggerhead,Alive,Pound net,47.7,48.7,39.0,52.5,155.4,Free
295,Loggerhead,Alive,Pound net,47.7,48.7,39.0,52.5,155.4,Free
296,Loggerhead,Alive,Pound net,60.8,61.5,49.9,66.8,155.4,Free
297,Loggerhead,Alive,Pound net,60.8,61.5,49.9,66.8,155.4,Free
298,Green,Alive,Pound net,27.5,28.0,21.5,29.0,78.7,Free
299,Green,Alive,Pound net,27.5,28.0,21.5,29.0,78.7,Free
300,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
301,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
302,Green,Alive,Pound net,36.2,37.0,28.8,38.1,78.7,Free
303,Green,Alive,Pound net,36.2,37.0,28.8,38.1,78.7,Free
304,Green,Alive,Pound net,26.5,26.8,22.0,29.2,78.7,Free
305,Green,Alive,Pound net,26.5,26.8,22.0,29.2,78.7,Free
306,Loggerhead,Alive,Pound net,55.3,56.0,46.4,60.5,155.4,Free
307,Loggerhead,Alive,Pound net,55.3,56.0,46.4,60.5,155.4,Free
308,Loggerhead,Alive,Pound net,55.3,56.0,46.4,60.5,155.4,Free
309,Loggerhead,Alive,Pound net,55.3,56.0,46.4,60.5,155.4,Free
310,Loggerhead,Alive,Pound net,55.3,56.0,46.4,60.5,155.4,Free
311,Loggerhead,Alive,Pound net,55.3,56.0,46.4,60.5,155.4,Free
312,Loggerhead,Alive,Pound net,60.7,61.4,51.6,65.6,155.4,Free
313,Loggerhead,Alive,Pound net,60.7,61.4,51.6,65.6,155.4,Free
314,Loggerhead,Alive,Pound net,47.8,49.2,41.4,53.0,155.4,Free
315,Loggerhead,Alive,Pound net,47.8,49.2,41.4,53.0,155.4,Free
316,Loggerhead,Alive,Pound net,49.4,50.7,41.4,53.7,155.4,Free
317,Loggerhead,Alive,Pound net,49.4,50.7,41.4,53.7,155.4,Free
318,Green,Alive,Pound net,26.3,27.0,21.8,27.2,78.7,Free
319,Green,Alive,Pound net,26.3,27.0,21.8,27.2,78.7,Free
320,Loggerhead,Alive,Pound net,50.6,51.6,42.3,55.9,968.0,Free
321,Loggerhead,Alive,Pound net,50.6,51.6,42.3,55.9,968.0,Free
322,Loggerhead,Alive,Pound net,57.2,58.3,48.7,65.2,155.4,Free
323,Loggerhead,Alive,Pound net,57.2,58.3,48.7,65.2,155.4,Free
324,Loggerhead,Alive,Pound net,58.1,58.9,45.6,62.0,131.0,Free
325,Loggerhead,Alive,Pound net,58.1,58.9,45.6,62.0,131.0,Free
326,Loggerhead,Alive,Pound net,69.3,70.2,54.2,74.4,293.0,Free
327,Loggerhead,Alive,Pound net,69.3,70.2,54.2,74.4,293.0,Free
328,Loggerhead,Alive,Pound net,69.3,70.2,54.2,74.4,293.0,Free
329,Loggerhead,Alive,Pound net,69.3,70.2,54.2,74.4,293.0,Free
330,Loggerhead,Alive,Pound net,49.9,50.7,43.7,54.0,155.4,Free
331,Loggerhead,Alive,Pound net,49.9,50.7,43.7,54.0,155.4,Free
332,Green,Alive,Pound net,29.9,30.6,23.9,30.5,78.7,Free
333,Green,Alive,Pound net,29.9,30.6,23.9,30.5,78.7,Free
334,Loggerhead,Alive,Pound net,43.5,45.1,37.2,47.9,155.4,Free
335,Loggerhead,Alive,Pound net,50.8,52.2,42.4,55.0,155.4,Free
336,Loggerhead,Alive,Pound net,50.8,52.2,42.4,55.0,155.4,Free
337,Loggerhead,Alive,Pound net,80.0,81.1,62.7,87.0,155.4,Free
338,Loggerhead,Alive,Pound net,80.0,81.1,62.7,87.0,155.4,Free
339,Loggerhead,Alive,Pound net,55.0,56.5,47.0,61.0,155.4,Free
340,Loggerhead,Alive,Pound net,55.0,56.5,47.0,61.0,155.4,Free
341,Green,Alive,Pound net,28.2,28.4,23.2,30.0,78.7,Free
342,Green,Alive,Pound net,28.2,28.4,23.2,30.0,78.7,Free
